
Trans_ID,Product1,Product2,Product3
1,Shoes,Blouse,Anklets
2,Shirt,Blouse,Anklets
3,Blue jeans,Bracelet,Skirt
4,Blue jeans,Bracelet,Skirt
5,Blue jeans,Short sleeve,Dress
6,Shoes,Blouse,Skirt
7,Shirt,Long sleeve,Anklets
8,Shoes,Bracelet,Skirt
9,Blue jeans,Bracelet,Skirt
10,Earring,Short sleeve,Dress
11,Shoes,Blouse,Skirt
12,Shoes,Blouse,Skirt
13,Shirt,Long sleeve,Anklets
14,Blue jeans,Bracelet,Skirt
15,Blue jeans,Bracelet,Skirt
16,Shirt,Long sleeve,Skirt
17,Shirt,Long sleeve,Anklets
18,Shoes,Blouse,Skirt
19,Shoes,Bracelet,Anklets
20,Shoes,Blouse,Skirt
21,Blue jeans,Bracelet,Skirt
22,Shoes,Blouse,Skirt
23,Shoes,Bracelet,Anklets
24,Blue jeans,Bracelet,Skirt
25,Blue jeans,Bracelet,Skirt
26,Blue jeans,Short sleeve,Dress
27,Blue jeans,Bracelet,Skirt
28,Shoes,Bracelet,Anklets
29,Blue jeans,Short sleeve,Dress
30,Blue jeans,Bracelet,Skirt
31,Shoes,Blouse,Skirt
32,Blue jeans,Bracelet,Skirt
33,Earring,Short sleeve,Dress
34,Shoes,Blouse,Skirt
35,Shoes,Blouse,Skirt
36,Shoes,Bracelet,Anklets
37,Earring,Short sleeve,Dress
38,Shoes,Blouse,Anklets
39,Blue jeans,Bracelet,Skirt
40,Shoes,Bracelet,Anklets
41,Shoes,Bracelet,Anklets
42,Shoes,Bracelet,Anklets
43,Shirt,Long sleeve,Anklets
44,Shirt,Long sleeve,Anklets
45,Earring,Short sleeve,Dress
46,Blue jeans,Bracelet,Skirt
47,Blue jeans,Bracelet,Skirt
48,Shoes,Blouse,Skirt
49,Shoes,Bracelet,Anklets
50,Blue jeans,Short sleeve,Dress
51,Shoes,Bracelet,Anklets
52,Earring,Short sleeve,Dress
53,Earring,Short sleeve,Dress
54,Shirt,Long sleeve,Anklets
55,Shoes,Bracelet,Skirt
56,Blue jeans,Bracelet,Skirt
57,Earring,Short sleeve,Dress
58,Earring,Short sleeve,Dress
59,Shoes,Blouse,Skirt
60,Shoes,Bracelet,Anklets
61,Shirt,Blouse,Anklets
62,Shoes,Blouse,Skirt
63,Shirt,Long sleeve,Skirt
64,Earring,Bracelet,Dress
65,Shoes,Blouse,Skirt
66,Shoes,Bracelet,Skirt
67,Shirt,Long sleeve,Skirt
68,Shirt,Long sleeve,Skirt
69,Blue jeans,Short sleeve,Skirt
70,Shoes,Blouse,Skirt
71,Earring,Short sleeve,Dress
72,Blue jeans,Short sleeve,Dress
73,Blue jeans,Short sleeve,Dress
74,Shirt,Long sleeve,Anklets
75,Shirt,Long sleeve,Anklets
76,Blue jeans,Bracelet,Skirt
77,Shoes,Blouse,Skirt
78,Blue jeans,Bracelet,Skirt
79,Shoes,Blouse,Skirt
80,Shoes,Blouse,Skirt
81,Earring,Short sleeve,Dress
82,Shirt,Long sleeve,Anklets
83,Shirt,Long sleeve,Anklets
84,Shirt,Long sleeve,Skirt
85,Blue jeans,Bracelet,Skirt
86,Shoes,Blouse,Skirt
87,Shoes,Blouse,Skirt
88,Blue jeans,Bracelet,Skirt
89,Shoes,Bracelet,Anklets
90,Shirt,Blouse,Anklets
91,Blue jeans,Bracelet,Skirt
92,Shirt,Long sleeve,Anklets
93,Shoes,Bracelet,Anklets
94,Shoes,Blouse,Anklets
95,Shoes,Blouse,Skirt
96,Shoes,Blouse,Skirt
97,Shoes,Bracelet,Skirt
98,Blue jeans,Bracelet,Skirt
99,Shoes,Blouse,Skirt
100,Blue jeans,Bracelet,Skirt
101,Shirt,Long sleeve,Skirt
102,Shoes,Blouse,Anklets
103,Shoes,Blouse,Skirt
104,Shirt,Long sleeve,Anklets
105,Shirt,Long sleeve,Skirt
106,Blue jeans,Bracelet,Skirt
107,Shoes,Blouse,Skirt
108,Blue jeans,Bracelet,Skirt
109,Earring,Short sleeve,Dress
110,Shirt,Long sleeve,Skirt
111,Shirt,Long sleeve,Anklets
112,Blue jeans,Bracelet,Skirt
113,Blue jeans,Bracelet,Skirt
114,Blue jeans,Bracelet,Skirt
115,Blue jeans,Bracelet,Skirt
116,Shirt,Long sleeve,Skirt
117,Blue jeans,Bracelet,Skirt
118,Shoes,Blouse,Skirt
119,Earring,Short sleeve,Dress
120,Shirt,Long sleeve,Skirt
121,Shoes,Bracelet,Anklets
122,Blue jeans,Bracelet,Skirt
123,Shoes,Blouse,Skirt
124,Shirt,Long sleeve,Skirt
125,Earring,Short sleeve,Dress
126,Shoes,Blouse,Skirt
127,Shirt,Long sleeve,Skirt
128,Blue jeans,Bracelet,Skirt
129,Earring,Short sleeve,Dress
130,Earring,Short sleeve,Dress
131,Shoes,Blouse,Skirt
132,Shoes,Blouse,Skirt
133,Shoes,Bracelet,Skirt
134,Shoes,Blouse,Skirt
135,Shoes,Blouse,Anklets
136,Shoes,Bracelet,Anklets
137,Shoes,Bracelet,Anklets
138,Shoes,Bracelet,Anklets
139,Shirt,Long sleeve,Skirt
140,Shirt,Long sleeve,Anklets
141,Blue jeans,Bracelet,Skirt
142,Blue jeans,Bracelet,Skirt
143,Shoes,Blouse,Skirt
144,Shoes,Bracelet,Anklets
145,Blue jeans,Bracelet,Skirt
146,Earring,Short sleeve,Dress
147,Shirt,Long sleeve,Skirt
148,Earring,Short sleeve,Dress
149,Earring,Short sleeve,Dress
150,Shirt,Long sleeve,Skirt
151,Shoes,Bracelet,Anklets
152,Shoes,Blouse,Skirt
153,Shoes,Blouse,Skirt
154,Shoes,Blouse,Skirt
155,Shoes,Blouse,Skirt
156,Earring,Short sleeve,Dress
157,Earring,Short sleeve,Dress
158,Shirt,Long sleeve,Skirt
159,Blue jeans,Bracelet,Skirt
160,Shirt,Long sleeve,Anklets
161,Shoes,Bracelet,Skirt
162,Shoes,Bracelet,Skirt
163,Shoes,Blouse,Skirt
164,Shoes,Blouse,Skirt
165,Shirt,Long sleeve,Anklets
166,Earring,Short sleeve,Dress
167,Earring,Short sleeve,Dress
168,Blue jeans,Bracelet,Skirt
169,Blue jeans,Bracelet,Skirt
170,Earring,Short sleeve,Dress
171,Shirt,Long sleeve,Anklets
172,Shoes,Blouse,Skirt
173,Shoes,Blouse,Skirt
174,Blue jeans,Bracelet,Skirt
175,Shoes,Blouse,Skirt
176,Blue jeans,Bracelet,Skirt
177,Blue jeans,Bracelet,Skirt
178,Shoes,Bracelet,Anklets
179,Shoes,Blouse,Skirt
180,Blue jeans,Bracelet,Skirt
181,Earring,Short sleeve,Dress
182,Earring,Short sleeve,Dress
183,Earring,Bracelet,Dress
184,Shirt,Long sleeve,Anklets
185,Shirt,Long sleeve,Skirt
186,Shirt,Long sleeve,Skirt
187,Blue jeans,Bracelet,Skirt
188,Earring,Short sleeve,Dress
189,Shirt,Long sleeve,Skirt
190,Blue jeans,Bracelet,Skirt
191,Shoes,Bracelet,Anklets
192,Shirt,Long sleeve,Skirt
193,Shoes,Bracelet,Anklets
194,Blue jeans,Short sleeve,Dress
